date,geography,geography code,Total,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Mixed/multiple ethnic groups: Total,Mixed/multiple ethnic groups: White and Black Caribbean,Mixed/multiple ethnic groups: White and Black African,Mixed/multiple ethnic groups: White and Asian,Mixed/multiple ethnic groups: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
2021,Cheadle,E14000627,95479,78901,75471,1220,16,28,2166,2467,558,315,916,678,11075,2412,6060,458,1056,1089,811,459,235,117,2225,798,1427
2021,Chelmsford,E14000628,112872,96591,88984,1004,120,125,6358,3416,958,526,1046,886,7819,3826,985,725,897,1386,3747,2661,604,482,1299,310,989
2021,Chelsea and Fulham,E14000629,101755,73174,43581,2477,18,827,26271,6021,1178,800,1839,2204,8926,2061,770,796,1971,3328,7164,4464,1833,867,6470,2841,3629
2021,Cheltenham,E14000630,107129,97774,88900,955,64,144,7711,2698,591,371,1020,716,4436,1742,267,420,796,1211,1086,751,197,138,1135,293,842
2021,Chesham and Amersham,E14000631,96686,81916,75078,1431,87,44,5276,3201,581,260,1549,811,9645,4754,2676,172,615,1428,846,451,294,101,1078,153,925
2021,Chesterfield,E14000632,93238,88906,86611,385,30,36,1844,1368,546,171,339,312,1848,643,401,75,333,396,744,390,239,115,372,80,292
2021,Chichester,E14000633,114420,109017,102840,793,279,89,5016,1926,419,274,673,560,2068,590,58,175,388,857,763,438,213,112,646,145,501
2021,Chingford and Woodford Green,E14000634,95978,60969,47588,1704,30,202,11445,6115,1883,773,1514,1945,13626,3808,4796,1476,929,2617,10282,4453,4482,1347,4986,551,4435
2021,Chippenham,E14000635,101639,96896,92654,524,125,46,3547,1873,586,232,570,485,1697,448,71,257,329,592,682,294,259,129,491,117,374
2021,Chipping Barnet,E14000636,117511,75254,52612,3217,54,320,19051,7094,1391,985,2107,2611,18991,8610,1429,912,2337,5703,7309,5003,1423,883,8863,952,7911
2021,Chorley,E14000637,105008,100311,97417,548,27,58,2261,1584,577,219,464,324,2039,716,709,104,270,240,580,275,226,79,494,229,265
2021,Christchurch,E14000638,87806,85070,82015,519,146,38,2352,1159,231,179,457,292,1051,259,44,135,267,346,221,134,59,28,305,39,266
2021,Cities of London and Westminster,E14000639,101036,61374,32323,1787,22,836,26406,6282,820,884,2021,2557,17490,4357,1210,2669,4612,4642,5625,3969,1069,587,10265,5449,4816
2021,City of Chester,E14000640,100268,92597,86224,994,42,110,5227,1965,432,336,737,460,3548,1326,342,499,515,866,1108,839,178,91,1050,360,690
2021,City of Durham,E14000641,99359,91378,87270,492,167,51,3398,1925,253,279,911,482,4226,995,343,110,1938,840,791,586,94,111,1039,457,582
2021,Clacton,E14000642,90966,87322,84787,849,79,21,1586,1517,615,216,348,338,1224,286,66,108,359,405,584,290,217,77,319,30,289
2021,Cleethorpes,E14000643,94167,91464,89493,209,39,16,1707,872,208,139,299,226,1136,277,125,195,221,318,257,170,47,40,438,167,271
2021,Colchester,E14000644,123861,103369,93661,758,105,217,8628,4220,1075,794,1205,1146,8323,2488,615,675,1466,3079,5599,4150,771,678,2350,586,1764
2021,Colne Valley,E14000645,112942,94421,91482,792,32,42,2073,3374,1727,278,832,537,11805,1420,9084,334,280,687,2025,823,904,298,1317,427,890
2021,Congleton,E14000646,104039,100777,98200,599,134,32,1812,1363,345,191,480,347,1210,369,125,88,311,317,341,186,105,50,348,93,255
2021,Copeland,E14000647,76511,74901,73667,194,23,24,993,548,114,77,209,148,646,143,57,61,137,248,197,150,36,11,219,68,151
2021,Corby,E14000648,129460,120571,105540,1020,88,341,13582,2292,659,403,616,614,2340,1122,137,174,323,584,3270,2262,503,505,987,70,917
2021,Coventry North East,E14000649,124410,73641,59652,1563,141,409,11876,4546,1834,742,1104,866,27169,13652,6861,1678,635,4343,13775,10989,1337,1449,5279,897,4382
2021,Coventry North West,E14000650,107290,80431,70205,2511,75,385,7255,3349,1412,407,950,580,13955,6719,3266,359,716,2895,6225,4640,975,610,3330,711,2619
2021,Coventry South,E14000651,113626,72175,61032,1588,79,322,9154,3837,1352,514,1128,843,22793,11725,2531,2220,3220,3097,10724,8481,1147,1096,4097,874,3223
2021,Crawley,E14000652,118492,86939,73178,831,103,337,12490,4838,1083,1002,1291,1462,18236,7335,6122,626,563,3590,5331,3296,683,1352,3148,675,2473
2021,Crewe and Nantwich,E14000653,114158,106220,96357,540,160,312,8851,2247,801,251,696,499,3331,1228,233,412,412,1046,1012,651,253,108,1348,146,1202
2021,Croydon Central,E14000654,124878,64787,51243,1504,82,296,11662,9768,3721,1388,1800,2859,17574,8224,3122,982,1236,4010,28239,14169,10333,3737,4510,684,3826
2021,Croydon North,E14000655,146658,50001,31592,1630,90,639,16050,11638,4100,2020,1648,3870,32391,12349,9086,1821,1202,7933,45355,19244,19909,6202,7273,1062,6211
2021,Croydon South,E14000656,119184,74201,63433,1801,40,186,8741,8338,2557,1045,2293,2443,18520,8990,3136,746,1511,4137,14842,6806,5861,2175,3283,513,2770
2021,Dagenham and Rainham,E14000657,115799,65943,52722,931,142,348,11800,4608,1616,1026,841,1125,20944,5463,5093,7296,722,2370,20938,15239,3125,2574,3366,536,2830
2021,Darlington,E14000658,92196,86577,82496,284,386,100,3311,1291,338,179,438,336,2784,1015,180,752,267,570,649,434,117,98,895,324,571
2021,Dartford,E14000659,122682,92486,83909,862,327,158,7230,3722,1028,726,1018,950,11709,5257,780,1052,1176,3444,12341,9861,1149,1331,2424,258,2166
2021,Daventry,E14000660,107584,101695,95457,805,69,210,5154,2012,672,258,591,491,2064,964,293,121,250,436,1334,827,346,161,479,61,418
2021,Denton and Reddish,E14000661,87823,78747,75467,1226,58,48,1948,2323,1014,394,491,424,4041,733,1787,396,674,451,1910,1289,374,247,802,234,568
2021,Derby North,E14000662,103236,82789,75807,851,60,154,5917,3467,1529,302,1007,629,11323,4694,4227,197,582,1623,3531,2147,939,445,2126,397,1729
2021,Derby South,E14000663,118518,72870,61368,856,336,999,9311,5306,2260,565,1179,1302,28570,7568,16643,593,575,3191,6521,3744,1965,812,5251,599,4652
2021,Derbyshire Dales,E14000664,80828,78799,76970,401,47,9,1372,861,232,89,325,215,718,281,130,10,130,167,215,82,88,45,235,51,184
2021,Devizes,E14000665,103813,96275,92651,525,118,41,2940,1892,512,239,521,620,2518,409,76,112,240,1681,2069,967,613,489,1059,79,980
2021,Dewsbury,E14000666,113642,81756,79024,346,40,116,2230,2383,687,154,1147,395,27600,7305,18641,313,190,1151,713,406,207,100,1190,236,954
2021,Don Valley,E14000667,101710,97653,93917,329,292,90,3025,1204,506,179,315,204,1672,545,508,45,236,338,688,416,152,120,493,101,392
2021,Doncaster Central,E14000668,107557,93711,81545,439,239,546,10942,2284,778,382,612,512,6349,1401,2518,128,582,1720,2379,1709,344,326,2834,287,2547
2021,Doncaster North,E14000669,98833,95594,91417,234,325,51,3567,1115,523,155,268,169,1064,333,123,17,213,378,674,402,176,96,386,34,352
2021,Dover,E14000670,102070,96638,91821,581,217,242,3777,1522,365,253,468,436,2220,478,32,142,279,1289,772,516,156,100,918,125,793
2021,Dudley North,E14000671,86250,68068,65311,227,113,60,2357,2926,1778,178,596,374,10014,3153,5517,174,206,964,4068,1834,1751,483,1174,277,897
2021,Dudley South,E14000672,81591,72627,70674,243,182,55,1473,2099,1163,93,580,263,4877,1173,2777,78,230,619,1336,628,512,196,652,232,420
2021,Dulwich and West Norwood,E14000673,113875,65419,49278,2506,38,276,13321,9763,3386,1335,2067,2975,6995,2045,827,878,1273,1972,26487,11990,11020,3477,5211,683,4528
2021,Ealing Central and Acton,E14000674,129214,74862,42880,3557,105,881,27439,8190,1523,1118,2458,3091,20482,6496,2673,588,2687,8038,11825,6998,3661,1166,13855,7520,6335
2021,Ealing North,E14000675,129899,55736,29722,3103,94,340,22477,7104,2130,852,1767,2355,35303,14024,5846,903,1228,13302,17177,9004,6342,1831,14579,6740,7839
2021,"Ealing, Southall",E14000676,108003,27867,16666,1851,49,208,9093,3867,944,476,1220,1227,55453,34286,8194,2195,609,10169,10489,6576,2895,1018,10327,1848,8479
2021,Easington,E14000677,81510,79917,78917,141,34,19,806,518,127,87,173,131,746,233,122,55,159,177,146,91,27,28,183,49,134
2021,East Devon,E14000678,111920,108314,104117,573,117,62,3445,1421,294,201,509,417,1412,365,49,127,312,559,338,217,80,41,435,110,325
2021,East Ham,E14000679,166954,42256,19036,745,210,958,21307,6480,1562,1250,1455,2213,86049,24813,19720,30320,1783,9413,24185,16252,5321,2612,7984,1419,6565
2021,East Hampshire,E14000680,103049,97976,92463,652,256,86,4519,1812,320,234,751,507,2102,522,213,165,311,891,601,406,119,76,558,90,468
2021,East Surrey,E14000681,115303,102274,94728,1253,363,93,5837,4212,1127,499,1426,1160,5027,1956,656,435,624,1356,2721,1472,889,360,1069,161,908
2021,East Worthing and Shoreham,E14000682,99624,92299,87281,774,128,101,4015,2513,472,470,854,717,2921,654,192,580,447,1048,855,571,185,99,1036,261,775
2021,East Yorkshire,E14000683,104360,102203,99938,364,132,18,1751,854,192,142,296,224,807,179,124,50,199,255,203,118,56,29,293,64,229
2021,Eastbourne,E14000684,109243,99625,90558,1011,77,143,7836,2899,676,518,858,847,3660,963,174,469,567,1487,1331,890,272,169,1728,446,1282
2021,Eastleigh,E14000685,115316,107196,102309,517,194,87,4089,2339,507,410,844,578,3909,1847,261,337,648,816,1124,804,164,156,748,118,630
2021,Eddisbury,E14000686,98560,95650,92878,592,192,28,1960,1190,312,175,404,299,1013,267,91,52,216,387,346,262,57,27,361,74,287
2021,Edmonton,E14000687,118031,46333,23630,1250,198,561,20694,6088,1748,944,986,2410,15692,3437,1461,5051,625,5118,32560,19960,8911,3689,17358,1062,16296
2021,Ellesmere Port and Neston,E14000688,92173,88638,85221,671,122,60,2564,1221,260,218,468,275,1461,310,139,150,346,516,409,256,78,75,444,100,344
